"Lauksaimniecības kultūraugu sējumu kopraža – Kultūraugi un Laika periods"

"Kultūraugi";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Ārstniecības augi";…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;0.2;0.2;0.1;0.2;0.1;…
"Pārējie tehniskie kultūraugi";…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
"Cukurbietes";407.7;491.2;622.3;532.4;505.6;519.9;473.9;10.8;…;…;…;…;…;…;…;…;…;…;…;…;…;…;…
"Lopbarības saknes";222.3;203.0;153.7;158.5;130.1;88.3;61.4;53.2;22.4;17.6;20.4;14.8;17.4;8.0;4.8;6.1;3.0;4.9;4.5;6.9;2.9;2.6;…
"Kartupeļi";747.1;615.3;768.4;739.0;628.4;658.2;550.9;642.1;673.4;525.4;484.3;498.6;538.9;495.9;505.7;497.3;491.6;408.3;426.9;501.8;377.5;249.0;170.0
"Dārzeņi, pavisam";105.8;159.3;148.2;217.5;180.8;172.2;174.4;155.9;143.2;182.5;151.0;168.2;161.4;140.4;191.3;194.8;196.6;157.1;139.1;172.9;159.1;127.1;…
"Atklātā lauka dārzeņi";97.7;148.4;135.2;201.1;165.1;158.8;155.3;141.0;131.1;170.4;138.8;151.6;147.2;125.8;178.7;181.9;183.0;146.0;127.6;161.7;147.1;113.4;…
"Kāposti";48.6;59.6;59.9;82.6;73.9;64.4;63.3;51.5;53.4;61.9;60.0;61.2;62.1;52.7;72.6;80.5;79.9;66.0;46.8;53.2;43.0;41.9;…
"Ziedkāposti";1.8;2.2;1.8;2.9;1.6;1.5;1.1;1.4;1.4;1.1;1.3;1.1;3.6;1.3;1.2;1.5;0.9;1.5;0.4;1.5;0.7;0.5;…
"Puravi";…;…;0.2;0.2;0.4;0.6;0.7;0.2;0.2;0.4;0.2;0.6;0.5;0.4;0.5;0.5;0.3;0.7;0.3;0.5;0.7;0.6;…
"Salāti";0.0;0.1;0.2;0.3;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.3;0.1;0.2;0.2;0.3;0.1;0.0;…
"Sīpoli lociņiem";0.2;0.1;0.3;0.6;0.2;0.6;0.2;0.4;0.3;0.3;0.2;0.6;0.3;0.6;0.2;0.3;0.3;0.2;0.8;0.1;0.1;0.0;…
"Gurķi";1.9;4.7;7.8;10.4;4.1;5.6;6.4;4.5;0.8;0.6;1.6;1.4;1.5;1.5;0.7;1.0;1.4;1.6;2.5;3.3;1.2;0.8;…
"Tomāti";0.1;0.2;1.0;1.5;0.4;0.3;0.4;0.3;0.0;0.0;0.0;0.1;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;…
"Bietes";11.7;21.9;16.4;27.8;19.9;23.6;25.2;22.6;15.6;26.2;16.3;17.9;27.3;17.3;29.6;42.2;30.0;16.7;18.4;28.5;19.6;14.3;…
"Burkāni";21.1;42.8;23.0;41.7;33.3;34.7;31.6;30.4;36.4;43.3;34.3;38.6;28.1;32.0;47.2;25.4;43.2;31.1;27.3;37.0;39.3;30.7;…
"Sīpoli";8.3;7.1;14.1;17.5;19.8;15.9;13.6;16.7;17.3;29.8;16.2;20.2;16.1;10.4;17.4;16.6;15.2;17.7;19.2;22.6;24.8;13.9;…
"Ķiploki";0.2;0.7;0.9;1.2;0.5;0.5;0.6;0.8;0.1;0.1;0.1;0.1;0.2;0.5;0.1;0.7;0.6;1.9;1.1;2.2;2.1;1.4;…
"Zaļie zirnīši";0.0;0.1;0.4;0.6;0.2;0.4;0.3;0.0;0.4;0.2;0.2;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;…
"Mārrutki";0.9;0.5;0.3;0.2;0.3;0.3;0.2;0.2;0.4;0.0;0.2;0.6;0.0;0.0;0.0;0.3;0.4;0.0;0.0;0.0;0.0;0.0;…
"Kabači un ķirbji";0.5;4.5;4.7;6.6;4.6;5.0;5.7;5.1;1.2;2.2;3.2;3.8;2.8;4.9;4.4;5.5;6.4;3.1;6.4;6.0;7.4;5.1;…
"Pārējie dārzeņi";2.3;3.8;4.2;7.1;5.7;5.2;6.1;6.7;3.3;4.4;4.7;5.3;4.5;3.8;4.7;6.9;4.3;5.1;4.2;6.4;8.1;4.2;…
"Lopbarības-zaļbarības kultūraugi";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;…;…
"Ilggadīgie zālāji";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;…;…
"Ilggadīgie zālāji sēklai";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;…;…;…
"Ilggadīgo zālāju siens";405.3;440.3;395.8;362.8;404.1;497.8;485.0;592.5;662.2;646.9;581.2;594.5;623.9;592.8;476.9;464.2;449.3;407.1;307.1;396.6;389.5;478.7;…
"Pļavu un ganību siens";291.5;375.8;247.3;346.1;473.0;423.0;431.6;536.6;678.0;488.7;416.6;515.1;390.8;392.2;331.2;369.1;357.3;359.2;381.8;437.7;487.7;477.9;…
"Zaļbarības un skābbarības kultūraugi (bez kukurūzas)";137.6;98.0;98.4;140.3;148.5;112.1;110.7;148.6;109.9;90.7;82.6;84.0;167.7;98.2;101.6;128.2;109.2;30.8;16.8;29.3;30.7;15.9;…
"Kukurūza skābbarībai un zaļbarībai";24.1;25.1;25.7;44.3;52.8;58.0;63.8;122.6;125.3;226.6;209.0;345.6;553.7;610.6;649.8;730.2;857.1;689.3;796.4;861.7;777.7;719.3;…
"Zaļmēslojuma kultūraugi";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;.;.;X;…;…;…
"Nektāraugi";X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;.;.;X;…;…;…
